Cathegorie,Product ID,Product Name,Product Type,Additional service ,Regions,Where,Video/Photos,duration,Number of peoples,Unit price ,Sales,Views,Quantity,Sales Last Year,Views Last Year,Quantity Last Year,Grow sales
ULM/Plane,1265193,Excursion au dessus des Châteaux de la Loire en avion privé,Excursion,privé,Centre-Val-De-Loire,Château de la loire,,,,"372,90", €  -   ,  -   ,  -   ," €  310,75 ",  150 ,  1 ,"-100,00%"
ULM/Plane,1321905,Vol dans la Vallée de la Loire au-dessus des châteaux en avion privé pour 2 (1h),Vol (lieu),privé,Centre-Val-De-Loire,Château de la loire,châteaux,60,2,"220,90", €  -   ,  -   ,  -   ," €  184,08 ",  153 ,  1 ,"-100,00%"
ULM/Plane,1403193,Balade aérienne privée à destination du mont Saint-Michel,Balade aérienne,privé,Normandie,Mont Saint-Michel,,,,"324,90", €  -   ,  -   ,  -   ," €  812,25 ",  93 ,  3 ,"-100,00%"
ULM/Plane,1321902,Survol des plages du débarquement pour 2 avec pilote privé (45 min),Survol (lieu),privé,Normandie,Plages du débarquement,,45,2,"176,90", €  -   ,  33 ,  -   ," €  8 107,92 ",  1 451 ,  46 ,"-100,00%"
ULM/Plane,1424697,Vol privé de 45 min au-dessus des Jardins d'Étretat et des plages du débarquement pour 2,Vol privé,privé,Normandie,Étretat/Plages débarquement,,45,2,"179,90", €  -   ,  19 ,  -   ," €  4 047,75 ",  721 ,  23 ,"-100,00%"
ULM/Plane,1403107,Balade d’1h30 en avion à la découverte des Pyrénées depuis Toulouse en duo,Balade (durée),depuis Toulouse,Occitanie,Pyrénées - Toulouse,,90,2,"299,90", €  -   ,  -   ,  -   ," €  499,83 ",  61 ,  2 ,"-100,00%"
ULM/Plane,1278488,Excursion en Côte d'Azur en avion privé pour 2 (1h30),Excursion,privé,PACA,Côte d'Azur,,90,2,"372,90", €  -   ,  -   ,  -   ," €  621,50 ",  158 ,  2 ,"-100,00%"
ULM/Plane,1456444,Survol privé de la Côte d’Azur d’1h pour 2,Survol privé,privé,PACA,Côte d’Azur,,60,2,"205,90", €  -   ,  235 ,  -   ," €  6 177,00 ",  1 077 ,  30 ,"-100,00%"
ULM/Plane,1321906,Survol de la côte marseillaise en avion privé pour 2 (1h),Survol (lieu),privé,PACA,Marseille,,60,2,"239,90", €  -   ,  -   ,  -   ," €  599,75 ",  138 ,  3 ,"-100,00%"
ULM/Plane,1278483,Balade aérienne privée au-dessus des châteaux de la région parisienne,Balade aérienne,privé,Paris & Île-de-France,Châteaux région parisienne,,,,"179,90", €  -   ,  5 ,  -   ," €  449,75 ",  187 ,  3 ,"-100,00%"
ULM/Plane,1278484,Balade en avion pour 2 avec pilote privé en région parisienne,Balade en ,privé,Paris & Île-de-France,région parisienne,,,2,"249,90", €  -   ,  1 ,  -   ," €  208,25 ",  133 ,  1 ,"-100,00%"
ULM/Plane,1402347,Excursion magique de Paris à Deauville en avion privé,Excursion magique,privé,Paris & Île-de-France,Paris/Deauville,,,,"529,90", €  -   ,  -   ,  -   ," €  441,58 ",  92 ,  1 ,"-100,00%"
ULM/Plane,1278489,Balade en avion privé dans les environs du Mans pour 2 personnes (1h),Balade en ,privé,Pays-De-La-Loire,Mans,,60,2,"219,90", €  -   ,  4 ,  -   ," €  183,25 ",  175 ,  1 ,"-100,00%"
ULM/Plane,1403183,Vol d’1h en duo (pour 2) pour admirer les châteaux de la Loire,(Durée) de vol,,Centre-Val-De-Loire,Château de la loire,,60,2,"139,90"," €  1 142,52 ",  378 ,  8 ," €  35 208,17 ",  15 190 ,  252 ,"-96,75%"
ULM/Plane,1279123,Baptême de l’air et vidéo au-dessus des villages typiques du Mont-Ventoux,Baptême de l’air,,PACA,Mont-Ventoux,avec video,,,"148,90"," €  173,72 ",  76 ,  1 ," €  496,33 ",  123 ,  3 ,"-65,00%"
ULM/Plane,1382010,45 minutes de vol avec pilote privé au-dessus de la Côte d’Opale,(Durée) de vol,privé,Hauts-de-France,Côte d’Opale,,45,,"179,90"," €  209,88 ",  331 ,  1 ," €  449,75 ",  128 ,  3 ,"-53,33%"
ULM/Plane,1456443,Vol privé d'1h au-dessus de la Côte d’Azur pour 2 personnes,Vol privé,privé,PACA,Côte d'Asuz,,60,2,"215,90"," €  2 015,07 ",  303 ,  9 ," €  2 338,92 ",  471 ,  11 ,"-13,85%"
ULM/Plane,1402341,Vol privé d'1h pour 2 au-dessus de Besançon et ses alentours,Vol privé,privé,Bourgogne-Franche-Comté,Besançon,,60,2,"244,90", €  -   ,  -   ,  -   , €  -   ,  34 ,  -   ,"0,00%"
ULM/Plane,1508157,Bastia vue d’en haut : baptême de l’air de 25 min avec pilotage en Stampe SV4 RS,"(lieu) vue d'en haut, Baptême de l’air",,Corse,Bastia,,25,,"199,90", €  -   ,  29 ,  -   , €  -   ,  -   ,  -   ,"0,00%"
ULM/Plane,1508159,Baptême de l’air de 25 min avec pilotage en Stampe SV4 RS près de Reims,Baptême de l’air,,Grand-Est,Reims,,25,,"199,90", €  -   ,  7 ,  -   , €  -   ,  -   ,  -   ,"0,00%"
ULM/Plane,1397528,Vol découverte de nuit en avion pendant 25 minutes près de Valenciennes,Vol découverte de nuit,nuit ,Hauts-de-France,Valenciennes,,25,,"199,90", €  -   ,  27 ,  -   , €  -   ,  62 ,  -   ,"0,00%"
ULM/Plane,1278487,Vol d'1h en avion privé au dessus de la Côte d'Azur,Vol de (durée),privé,PACA,Côte d'Azur,,60,,"279,90", €  -   ,  -   ,  -   , €  -   ,  89 ,  -   ,"0,00%"
ULM/Plane,1508158,Saint-Cyr vue d’en haut : baptême de l’air de 25 min avec pilotage en Stampe SV4 RS,"(lieu) vue d'en haut, Baptême de l’air",,PACA,Saint-Cyr,,25,,"199,90", €  -   ,  5 ,  -   , €  -   ,  -   ,  -   ,"0,00%"
ULM/Plane,1461181,1h de survol des châteaux de la région parisienne en famille,(Durée) Survol,,Paris & Île-de-France,Châteaux région parisienne,,60,3,"224,90", €  -   ,  89 ,  -   , €  -   ,  -   ,  -   ,"0,00%"
ULM/Plane,1424699,Balade aérienne privée d’1h avec service Premium aux alentours du Mans,Balade aérienne,"privé, Service Premium",Pays-De-La-Loire,Mans,,,,"219,90", €  -   ,  4 ,  -   , €  -   ,  33 ,  -   ,"0,00%"
ULM/Plane,1456447,Balade aérienne privée d'1h pour 2 au-dessus du bassin d'Arcachon,Balade aérienne,privé,Nouvelle-Aquitaine,Arcachon,,60,2,"179,90"," €  4 617,43 ",  582 ,  26 ," €  3 598,00 ",  606 ,  20 ,"28,33%"
ULM/Plane,1382008,Vol avec pilote privé au-dessus de la Côte d’Opale,Vol avec pilote privé,privé,Hauts-de-France,Côte d’Opale,,,,"79,90"," €  559,30 ",  280 ,  7 ," €  332,92 ",  216 ,  4 ,"68,00%"
ULM/Plane,1461179,1h de vol privé en avion au-dessus de Lyon et ses alentours pour 3 personnes,(Durée) de vol,privé,Auvergne-Rhône-Alpes,Lyon,,60,3,"254,90"," €  297,38 ",  56 ,  1 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1461215,Balade d’1h en avion privé pour 3 à Besançon et ses alentours,Balade (durée),privé,Bourgogne-Franche-Comté,Besançon,,60,3,"234,90"," €  548,10 ",  78 ,  2 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1483705,20 min d'initiation au pilotage à bord d'un avion électrique près de Brest,Initiation,,Bretagne,Brest,,20,,"99,90"," €  1 282,05 ",  280 ,  13 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1467720,45 min de vol en avion au-dessus de la Côte d'Opale au départ du Touquet,(Durée) de vol,,Hauts-de-France,Côte d'Opale,,45,,"179,90"," €  419,77 ",  119 ,  2 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1506510,Biscarosse vue d’en haut : baptême de l’air de 25 min avec pilotage en Stampe SV4 RS,"(lieu) vue d'en haut, Baptême de l’air",,Nouvelle-Aquitaine,Biscarosse,,25,,"199,90"," €  233,22 ",  8 ,  1 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1414139,2h30 de vol en avion et 1h d'escale en bord de mer pour 2,(Durée) de vol,escale,Offre box France Entière,France entière,,150,2,"679,90"," €  793,22 ",  361 ,  1 , €  -   ,  379 ,  -   ,"100,00%"
ULM/Plane,1467726,A flight by plane with a private pilot (1h30) | A briefing (10 min) | Un vol en avion avec un pilote privé (1h30) | Un briefing (10 min),Un vol en avion avec un pilote privé,privé,Offre box France Entière,France entière,,90,,"359,90"," €  419,88 ",  49 ,  1 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1467723,A flight by plane with a private pilot (30 min) | A briefing (10 min) | Un vol en avion avec un pilote privé (30 min) | Un briefing (10 min),Un vol en avion avec un pilote privé,privé,Offre box France Entière,France entière,,30,,"179,90"," €  3 148,25 ",  217 ,  18 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1467724,A flight by plane with a private pilot (45 min) | A briefing (10 min) | Un vol en avion avec un pilote privé (45 min) | Un briefing (10 min),Un vol en avion avec un pilote privé,privé,Offre box France Entière,France entière,,45,,"269,90"," €  629,77 ",  127 ,  2 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1461180,Côte d'Azur vue du ciel : 1h de balade en avion privé pour 3 au départ de Cannes,(lieu) vue du ciel,privé,PACA,Côte d'Azur,,60,3,"258,90"," €  1 208,20 ",  269 ,  5 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1467651,A private air ride from the Mediterranean coast (45min) | Un tour en avion privé depuis la côte méditerranéenne (45min),Un tour ,privé,PACA,côte méditerranéenne,,45,,"219,90"," €  256,55 ",  70 ,  1 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1461216,Le Mans et ses alentours vus du ciel : survol d'1h pour 2 personnes,(lieu) vus du ciel,,Pays-De-La-Loire,Mans,,60,2,"174,90"," €  204,05 ",  82 ,  1 , €  -   ,  -   ,  -   ,"100,00%"
ULM/Plane,1382011,Survol de 45 minutes en avion du Grand Site de France des Deux-Caps pour 2,Survol de (Durée),,Hauts-de-France,Grand Site de France des Deux-Caps,,45,2,"269,90"," €  944,65 ",  82 ,  4 ," €  449,83 ",  606 ,  2 ,"110,00%"
ULM/Plane,1382009,Private Flight for 2 | Vol privé pour 2,Vol privé,privé,Offre box France Entière,France entière,,,2,"119,90"," €  4 056,62 ",  1 188 ,  34 ," €  1 798,50 ",  807 ,  15 ,"125,56%"
ULM/Plane,558031,Profitez d’un baptême de l’air en avion au-dessus de la Côte d’Opale depuis Le Touquet,Profitez d’un baptême de l’air,,Hauts-de-France,Côte d’Opale,,,,"59,00"," €  6 952,17 ",  3 123 ,  118 ," €  2 556,67 ",  1 516 ,  43 ,"171,92%"
ULM/Plane,558029,Baptême de l’air en avion au-dessus du littoral de la Côte d’Opale pendant 20 minutes,Baptême de l’air,,Hauts-de-France,Côte d’Opale,,20,,"49,50"," €  5 024,25 ",  1 694 ,  102 ," €  1 815,00 ",  875 ,  37 ,"176,82%"
